"title","skill","company","review_count","star_rating","days_since_posting","location","company_size","domain"
"Managing Director, Automotive Analytics","Analysis Skills","J.D. Power",13,"3.299999952",14,"VA",NULL,NULL
"Technology Spring 2019 Intern - TDC Consumer Analytics Data...","Hive| Data Mining| Machine Learning| R| Scala| SQL| Python","Time Warner",123,"4.199999809",5,"GA","10,000+","Media, News and Publishing"
"Tableau Developer, Data Products","Java| Business Intelligence| Hadoop| SAS| Python| SQL| Tableau","Visa",656,"4",30,"CA","10,000+","Banks and Financial Services"
"Data Visualization Specialist - Consultant (Tableau or Power...","Microsoft SQL Server| Machine Learning| Hadoop| Oracle| SQL| Tableau| Teradata| Apache| Alteryx","Clarity Insights",10,"3.5",5,"USA",NULL,NULL
"Data Science & Analytics","Survey Design| Performance Marketing","Publicis.Sapient",12,"3.799999952",30,"TX",NULL,NULL
"Data Visualization Specialist - Consultant (Tableau or Alter...","Microsoft SQL Server| Machine Learning| Hadoop| Oracle| SQL| Tableau| Teradata| Apache| Alteryx","Clarity Insights",10,"3.5",4,"CA",NULL,NULL
"Assistant Vice President, Data and Analytics, Strategy & Dis...","Microsoft Word| Data Mining| Microsoft Powerpoint","Arch Capital Group Ltd.",35,"4.199999809",30,"CT",NULL,NULL
"Head of Restaurant Growth Analytics and Insights, Uber Eats...","B2B Sales| SPSS| R| Python| SQL","Uber",641,"3.799999952",6,"CA","10,000+","Internet and Software"
"Product Manager - Data & Analytics",NULL,"FIS",1447,"3.5",1,"FL","10,000+","Banks and Financial Services"
"MGR DATA SCIENCE AND ANALYTICS","Machine Learning| R| Leadership Experience| Statisical Analysis| Python| SQL| Tableau","The Home Depot",41290,"3.799999952",6,"GA","10,000+","RetailConsumer Goods and Services"
"Head of eBusiness Analytics and Data Science","Machine Learning| Marketing Automation| Leadership Experience","EMD",50,"4",30,"MO","10,000+","Industrial Manufacturing"
"Trading Data Analytics Consultant","Microsoft Word| Microsoft Powerpoint| Microsoft Office","Accenture",14988,"4",30,"NY","10,000+","Consulting and Business Services"
"Director, Product - Data & Analytics","Machine Learning| Management Experience| SQL| Tableau","Fullscreen Media",33,"4.199999809",30,"CA",NULL,NULL
"Sr Director - Data & Analytics","Business Intelligence| Data Mining| Hadoop| R| Oracle| SQL| Tableau| Java| Python","GE Careers",4683,"4",13,"USA","10,000+","Industrial Manufacturing"
"Analytics - Vice President","Statistical Software| Spark| R| SAS| Python| Omniture| SQL","Merkle Inc.",136,"3.400000095",8,"MD","Less than 10,000","Consulting and Business Services"
"Manager - Data Analytics Platforms","Java| Business Intelligence| Python| C/C++| SQL| Tableau","Wayfair",397,"3.400000095",18,"MA","Less than 10,000","Internet and Software"
"Director, Product - Data & Analytics","Machine Learning| SQL| Tableau","Fullscreen",33,"4.199999809",30,"CA",NULL,NULL
"Director - Data & Analytics","Pig| Design Patterns| Hive| Power BI| Oracle| SQL| Sybase| MySQL| QlikView| PostgreSQL| NoSQL| DB2","AIG",2807,"3.799999952",30,"CA","10,000+","Insurance"
"Assistant Vice President (Analytics)","Data Mining| Marketing| Management Experience","EXL",1208,"3.799999952",15,"CT","Less than 10,000","Consulting and Business Services"
"Associate Actuary (Claims Analytics)","R| Python","USAA",2175,"4",1,"USA","10,000+","Insurance"
"Director Product Data Science and Analytics, Advertising","Data Analysis| Scripting| Leadership Experience| Python| SQL","King.com",NULL,NULL,4,"CA",NULL,NULL
"Director, Data Science & Analytics","Machine Learning","Cisco Meraki",10,"4.400000095",30,"CA","Less than 10,000","Internet and Software"
"Director, Advanced Analytics - Talent Analytics","Project Management| Statisical Analysis","Liberty Mutual",2914,"3.700000048",1,"MA","10,000+","Insurance"
"Head of Commercial Data & Analytics","R| SAS","GlaxoSmithKline",3195,"4.199999809",30,"NC","10,000+","Pharmaceuticals"
"Big Data Architect, Analytics","Pig| Hive| Hadoop| Perl| SDLC| HBase| SQL| Apache| Big Data| Java| Cassandra| MongoDB| NoSQL| Python","CapTech Consulting",15,"4.5",29,"VA","Less than 10,000","Consulting and Business Services"
"Associate Actuary (Claims Analytics)","R| Python","USAA",2175,"4",1,"VA","10,000+","Insurance"
"Director Data & Analytics Digital Media","Microsoft Powerpoint| R| SAS| Omniture| Microsoft Office| Tableau| SPSS| Leadership Experience| Doubleclick| Python","GroupM",95,"3.799999952",30,"NY","10,000+","Media, News and Publishing"
"Director, eCommerce Optimization & Analytics","SQL","Globoforce Limited",2,"5",12,"MA",NULL,NULL
"Director of Business Intelligence and Analytics","Pentaho| Project Management| Management Experience| Business Analysis| IT Experience| SQL| Tableau","Wycliffe Bible Translators",14,"4.400000095",9,"FL",NULL,NULL
"Senior Manager of Data & Analytics","Java| R| Python| SQL| Tableau","First Republic Bank",132,"4",20,"CA",NULL,NULL
"Head of Analytics","Machine Learning| R| Python| Sentiment Analytics","Harry's",12,"4.199999809",30,"NY",NULL,NULL
"Director, Marketing Analytics","Data Mining| R| SAS","Targetbase",16,"3",14,"NC",NULL,NULL
"Group Manager, Digital Marketing Data Science and Analytics","Leadership Experience| SQL","Intuit",1103,"4.199999809",30,"CA","Less than 10,000","Internet and Software"
"Analytics Business Partner, Market Intelligence","Customer Segmentation| Microsoft Powerpoint| Marketing| SQL| Excel| Tableau","Autodesk",333,"4.099999905",30,"CA","Less than 10,000","Internet and Software"
"Director, Product Analytics","Machine Learning| SQL","Williams-Sonoma, Inc.",1690,"3.700000048",30,"CA",NULL,NULL
"Analytics & Insights Manager","R| Python| SQL","Uber",642,"3.700000048",21,"CA","10,000+","Internet and Software"
